qid,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
361,32.14,10.71,17.86,10.71,3.57,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9056,6.12,2.04,4.08,2.04,0,0,2.04,0,0,0,0,12.24,2.04,4.08,0,6.12,0,6.12,2.04,2.04,0,0,0,0,0,0,0,0,0,0
9335,3.7,3.7,0,0,0,0,9.26,0,0,0,7.41,3.7,0,1.85,0,1.85,0,1.85,12.96,0,7.41,7.41,5.56,0,12.96,0,1.85,16.67,0,0
11659,7.69,1.92,5.77,0,0,0,13.46,0,0,0,0,15.38,5.77,0,1.92,1.92,1.92,7.69,3.85,1.92,0,0,1.92,0,11.54,0,0,11.54,0,0
11721,2.22,2.22,0,0,0,0,2.22,0,0,0,0,4.44,0,0,0,2.22,0,4.44,6.67,0,0,6.67,0,0,4.44,4.44,0,6.67,0,0
13064,0,0,0,0,0,0,5.13,0,0,0,0,10.26,0,2.56,2.56,7.69,0,7.69,15.38,5.13,0,7.69,2.56,0,7.69,0,0,0,0,0
17458,0,0,0,0,0,0,1.67,0,0,0,0,6.67,3.33,1.67,0,1.67,0,1.67,1.67,0,0,1.67,0,0,0,1.67,0,0,0,0
18429,0,0,0,0,0,0,11.25,0,1.25,0,0,6.25,1.25,0,3.75,3.75,0,2.5,2.5,1.25,0,0,1.25,0,8.75,0,3.75,0,0,0
20277,1.89,1.89,0,0,0,0,1.89,0,0,0,0,1.89,1.89,0,0,0,0,0,1.89,0,0,0,1.89,0,5.66,0,0,18.87,0,0
20423,7.14,7.14,0,0,0,0,5.36,0,0,0,0,10.71,3.57,3.57,1.79,1.79,0,0,10.71,0,8.93,0,3.57,0,1.79,0,0,0,0,0
22992,1.25,0,1.25,0,0,0,10,2.5,0,0,0,13.75,1.25,0,1.25,3.75,0,7.5,11.25,8.75,0,1.25,0,1.25,3.75,1.25,1.25,0,0,0
23550,2.27,2.27,0,0,0,0,9.09,0,0,0,0,6.82,0,2.27,0,2.27,0,2.27,4.55,2.27,0,2.27,0,0,4.55,0,0,0,0,0
23947,1.02,1.02,0,0,0,0,3.06,0,0,0,0,6.12,0,3.06,0,2.04,0,1.02,3.06,1.02,1.02,1.02,0,0,4.08,0,0,0,0,0
24168,2.22,0,2.22,0,0,2.22,4.44,0,0,0,0,4.44,0,0,2.22,0,0,2.22,4.44,0,0,4.44,0,0,0,0,0,0,0,0
25375,0,0,0,0,0,0,1.64,0,0,0,0,4.92,1.64,3.28,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
