qid,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
2619,0,0,0,0,0,0,5.56,1.85,0,0,3.7,1.85,0,1.85,0,0,0,0,5.56,1.85,0,3.7,0,0,3.7,9.26,0,7.41,1.85,0
4988,1.92,0,1.92,0,1.92,0,7.69,0,0,0,2.88,8.65,0.96,2.88,0,4.81,0,0.96,1.92,0.96,0,0.96,0,0,0.96,0.96,0,0,1.92,0
5577,0,0,0,0,0,0,14.71,0,0,0,11.76,0,0,0,0,0,0,0,2.94,0,0,2.94,0,0,0,8.82,0,5.88,0,0
5793,2.02,1.01,0,0,0,0,15.15,0,0,0,6.06,6.06,1.01,0,0,1.01,0,4.04,5.05,2.02,2.02,1.01,0,0,1.01,0,1.01,1.01,5.05,2.02
5939,0,0,0,0,0,0,10.31,0,0,1.03,3.09,3.09,2.06,1.03,0,0,0,0,7.22,6.19,1.03,1.03,0,0,1.03,6.19,0,0,0,0
7582,2.22,2.22,0,0,0,0,6.67,0,0,0,0,15.56,4.44,2.22,0,8.89,0,4.44,4.44,0,0,4.44,0,0,0,0,0,0,2.22,0
8089,1.67,0,1.67,0,1.67,0,8.33,1.67,0,0,1.67,5,0,1.67,0,3.33,0,0,8.33,1.67,1.67,5,1.67,0,1.67,1.67,1.67,0,0,1.67
11251,1.85,1.85,0,0,0,0,1.85,0,1.85,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,3.7,7.41,0,3.7,0,0
11254,0,0,0,0,0,0,3.39,0,0,0,1.69,0,0,0,0,0,0,0,1.69,0,1.69,0,0,0,3.39,0,0,0,0,0
12966,5.17,0,5.17,0,0,0,12.07,1.72,0,3.45,1.72,15.52,0,6.9,1.72,5.17,0,5.17,12.07,0,0,12.07,0,0,0,0,0,5.17,0,0
14084,0,0,0,0,0,0,1.59,0,0,0,0,6.35,0,0,1.59,4.76,1.59,3.17,12.7,0,0,12.7,0,0,9.52,0,0,0,0,0
14890,3.45,3.45,0,0,0,0,2.3,0,0,0,1.15,3.45,0,2.3,0,0,1.15,0,3.45,0,2.3,1.15,0,0,0,1.15,0,1.15,3.45,0
15636,10.77,3.08,6.15,0,4.62,1.54,4.62,0,0,0,1.54,7.69,3.08,3.08,0,1.54,0,1.54,6.15,0,0,4.62,1.54,0,0,3.08,0,0,6.15,3.08
17991,1.67,1.67,0,0,0,0,3.33,0,0,0,1.67,3.33,3.33,0,0,0,0,0,8.33,0,3.33,5,1.67,0,10,3.33,0,0,0,0
24779,3.92,3.92,0,0,0,0,9.8,0,0,0,0,9.8,0,1.96,0,7.84,0,1.96,7.84,5.88,0,0,1.96,0,0,9.8,0,1.96,0,0
25515,1.47,0,1.47,0,0,1.47,23.53,4.41,1.47,0,8.82,0,0,0,0,0,0,0,16.18,11.76,0,2.94,1.47,0,2.94,1.47,0,0,5.88,0
27302,2.17,2.17,0,0,0,0,0,0,0,0,0,6.52,2.17,2.17,0,2.17,0,0,4.35,0,2.17,4.35,2.17,0,4.35,0,2.17,0,0,0
28229,4,4,0,0,0,0,4,0,0,0,2,12,4,4,0,2,2,0,6,0,2,2,0,2,0,2,0,2,0,0
30769,0,0,0,0,0,0,14.74,0,0,0,5.26,4.21,1.05,1.05,0,2.11,0,0,3.16,2.11,0,1.05,0,0,0,1.05,0,0,0,0
38308,4.88,0,4.88,0.81,3.25,0.81,12.2,4.07,0,1.63,1.63,3.25,0,0,2.44,1.63,0,0.81,4.07,0,0,4.07,0,0,0.81,0,1.63,1.63,0,3.25
42463,4.88,0,4.88,0,2.44,0,3.66,0,0,0,2.44,8.54,3.66,1.22,1.22,0,1.22,1.22,3.66,1.22,1.22,0,1.22,1.22,7.32,1.22,0,4.88,0,0
48837,5.56,5.56,0,0,0,0,20.37,3.7,0,0,0,12.96,5.56,0,3.7,1.85,0,3.7,11.11,5.56,3.7,1.85,1.85,0,3.7,3.7,1.85,0,0,0
49166,5.13,0,2.56,2.56,0,0,10.26,0,0,0,5.13,12.82,0,2.56,0,5.13,0,5.13,0,0,0,0,0,0,0,2.56,0,0,0,0
52968,0,0,0,0,0,0,0,0,0,0,0,5.48,0,1.37,0,1.37,0,2.74,2.74,0,1.37,2.74,0,0,1.37,0,0,0,0,0
53820,0,0,0,0,0,0,2.86,0,0,0,2.86,0,0,0,0,0,0,0,8.57,0,0,8.57,0,0,5.71,14.29,0,0,0,0
55039,2,2,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,6,2,0,4,0,0,22,0,0,0,0,0
55041,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,2.17,0,0,0,0,0,0,0,2.17,0,4.35,13.04,0,0
56635,9.76,9.76,0,0,0,0,9.76,2.44,0,0,2.44,7.32,2.44,0,0,4.88,0,0,9.76,7.32,2.44,2.44,2.44,0,2.44,2.44,2.44,2.44,0,0
56756,10.53,5.26,5.26,0,3.51,0,3.51,0,0,0,0,19.3,8.77,8.77,1.75,1.75,0,1.75,14.04,1.75,3.51,8.77,1.75,0,0,1.75,0,0,0,0
56901,6.82,6.82,0,0,0,0,0,0,0,0,0,4.55,0,2.27,2.27,0,0,0,4.55,0,2.27,0,0,2.27,0,6.82,0,0,0,0
61390,1.47,1.47,0,0,0,0,1.47,0,0,0,1.47,2.94,2.94,0,0,0,0,0,14.71,0,2.94,11.76,1.47,0,13.24,0,0,0,0,1.47
61427,4.2,3.36,0.84,0,0.84,0,13.45,0.84,0,5.88,1.68,8.4,2.52,2.52,0,0,0.84,2.52,7.56,4.2,1.68,1.68,1.68,0,2.52,0.84,0,0,0,0.84
61522,7.55,7.55,0,0,0,0,26.42,0,1.89,0,20.75,15.09,3.77,0,1.89,5.66,1.89,1.89,9.43,1.89,0,1.89,5.66,0,0,9.43,0,1.89,0,0
61560,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64525,0,0,0,0,0,0,9.3,0,0,0,4.65,11.63,2.33,2.33,0,6.98,0,2.33,11.63,0,2.33,11.63,0,0,11.63,0,0,0,0,0
74535,0,0,0,0,0,0,0,0,0,0,0,4.88,0,4.88,0,0,0,0,34.15,0,0,34.15,0,0,26.83,0,0,0,0,0
76387,3.51,3.51,0,0,0,0,14.04,3.51,1.75,0,7.02,17.54,1.75,0,3.51,1.75,8.77,5.26,10.53,5.26,0,5.26,0,0,1.75,0,0,3.51,0,0
83331,10.2,10.2,0,0,0,0,14.29,6.12,0,2.04,8.16,2.04,0,0,0,2.04,0,0,12.24,6.12,4.08,6.12,4.08,0,0,6.12,2.04,0,0,2.04
83448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0
83458,1.41,0,1.41,0,0,0,8.45,1.41,1.41,0,7.04,2.82,0,2.82,0,0,0,0,4.23,1.41,0,1.41,0,1.41,2.82,5.63,1.41,0,0,0
83485,6.67,4.44,2.22,0,2.22,0,8.89,2.22,0,2.22,2.22,0,0,0,0,0,0,0,11.11,4.44,2.22,2.22,2.22,0,0,0,0,4.44,0,2.22
83635,5.26,5.26,0,0,0,0,10.53,5.26,2.63,0,5.26,5.26,2.63,0,0,0,0,2.63,10.53,5.26,0,2.63,0,2.63,5.26,0,0,2.63,0,0
86059,10,0,6.67,6.67,0,0,0,0,0,0,0,6.67,0,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86250,2.27,2.27,0,0,0,0,2.27,2.27,0,0,0,18.18,2.27,6.82,0,4.55,2.27,3.41,5.68,0,0,5.68,0,0,0,0,0,0,0,0
90593,11.48,8.2,3.28,0,3.28,0,26.23,0,0,0,3.28,0,0,0,0,0,0,0,13.11,9.84,0,3.28,0,0,3.28,4.92,1.64,0,3.28,0
90887,15.79,15.79,0,0,0,0,5.26,0,2.63,0,0,2.63,0,0,0,2.63,0,0,5.26,0,5.26,5.26,5.26,0,10.53,5.26,0,10.53,0,0
94179,0,0,0,0,0,0,3.12,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,3.12,0,0
96462,1.61,0,1.61,1.61,0,0,4.84,0,0,0,1.61,3.23,0,0,0,1.61,0,1.61,3.23,0,0,3.23,0,0,24.19,0,0,0,0,0
96507,4.26,0,4.26,0,2.13,0,34.04,0,0,2.13,17.02,8.51,6.38,0,0,2.13,0,2.13,4.26,0,0,4.26,0,0,0,0,0,2.13,0,0
115010,8.89,6.67,2.22,0,0,0,8.89,0,0,0,0,15.56,2.22,2.22,2.22,4.44,2.22,6.67,4.44,2.22,0,0,2.22,0,0,0,0,0,0,0
115177,10.87,8.7,2.17,0,2.17,0,10.87,0,0,2.17,4.35,2.17,0,0,0,0,2.17,0,19.57,6.52,6.52,4.35,10.87,0,0,6.52,2.17,4.35,0,0
115184,3.77,3.77,0,0,0,0,9.43,0,0,0,1.89,3.77,0,0,0,0,1.89,1.89,7.55,5.66,3.77,0,0,0,3.77,9.43,1.89,0,0,0
115228,5.26,5.26,0,0,0,0,26.32,0,0,0,0,0,0,0,0,0,0,0,15.79,10.53,0,5.26,0,0,0,5.26,5.26,0,0,0
115454,8,2,6,0,6,0,0,0,0,0,0,4,2,0,2,2,0,0,6,0,0,6,0,0,6,10,0,0,0,6
