Filename,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
2,0,0,0,0,0,0,4,0,0,0,0,12,1.33,2.67,0,2.67,1.33,5.33,4,4,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,22.35,2.23,0,3.35,1.12,15.08,8.38,2.23,0,3.35,0,2.23,2.23,0,0,2.23,0,0,0,0,0,0,0,0
3151,2.08,2.08,0,0,0,0,12.5,0,0,0,2.08,10.42,4.17,0,0,6.25,0,2.08,4.17,2.08,0,2.08,0,0,4.17,2.08,0,0,0,0
4563,1.03,1.03,0,0,0,0,14.43,0,0,8.25,0,4.12,2.06,2.06,0,0,0,0,8.25,2.06,4.12,5.15,0,0,1.03,0,0,0,4.12,0
4642,2.17,2.17,0,0,0,0,15.22,0,0,2.17,0,2.17,0,2.17,0,0,0,0,15.22,6.52,2.17,6.52,0,0,4.35,2.17,2.17,0,0,0
4757,6,6,0,0,0,0,6,0,0,0,0,6,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
4947,4.48,4.48,0,0,0,0,5.97,1.49,0,0,2.99,1.49,1.49,0,0,0,0,0,7.46,1.49,2.99,2.99,4.48,0,1.49,4.48,1.49,4.48,0,0
7125,5.36,5.36,0,0,0,0,17.86,3.57,0,0,0,12.5,5.36,0,3.57,1.79,0,3.57,8.93,5.36,1.79,0,1.79,0,1.79,3.57,1.79,0,0,0
9385,11.54,5.77,5.77,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,1.92,1.92,0,0
10989,3.3,3.3,0,0,0,0,2.2,0,0,1.1,0,10.99,2.2,4.4,0,1.1,2.2,2.2,5.49,1.1,1.1,2.2,1.1,0,2.2,1.1,0,0,0,0
11005,7.55,3.77,3.77,0,0,0,11.32,5.66,0,7.55,3.77,5.66,5.66,0,0,3.77,0,0,15.09,5.66,3.77,3.77,3.77,3.77,0,5.66,0,0,0,0
11006,7.81,3.12,4.69,0,0,3.12,1.56,0,0,0,0,1.56,0,0,0,0,0,1.56,9.38,0,7.81,0,0,3.12,0,0,0,3.12,0,0
11021,4.48,2.99,1.49,0,1.49,0,13.43,1.49,0,0,2.99,10.45,4.48,1.49,1.49,4.48,0,0,5.97,4.48,0,1.49,0,0,0,1.49,0,0,0,1.49
11050,4.26,2.13,2.13,0,0,0,21.28,0,0,10.64,0,8.51,0,2.13,2.13,2.13,0,2.13,6.38,0,0,6.38,0,0,0,0,0,0,0,2.13
11056,0,0,0,0,0,0,1.67,0,0,0,0,3.33,0,0,0,3.33,0,0,1.67,0,0,1.67,0,0,0,10,0,0,0,0
11846,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,12,0,2,12,0,0
14451,0,0,0,0,0,0,3.7,0,0,1.85,0,12.96,0,0,1.85,3.7,0,11.11,1.85,0,0,1.85,0,0,0,0,0,0,0,0
14757,0,0,0,0,0,0,0,0,0,0,0,8.33,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,4.17,0,8.33,0,0
15441,2.38,0,2.38,0,0,2.38,2.38,0,0,0,0,11.9,4.76,2.38,0,4.76,0,2.38,4.76,0,4.76,0,0,2.38,2.38,0,0,0,0,0
